,SMA
2018-07-24,165.5869
2018-07-25,165.8428
2018-07-26,166.0816
2018-07-27,166.2531
2018-07-30,166.3891
2018-07-31,166.5672
2018-08-01,166.7402
2018-08-02,166.9633
2018-08-03,167.1698
2018-08-06,167.3975
2018-08-07,167.6346
2018-08-08,167.8901
2018-08-09,168.1205
2018-08-10,168.3265
2018-08-13,168.4779
2018-08-14,168.6212
2018-08-15,168.7120
2018-08-16,168.7946
2018-08-17,168.9051
2018-08-20,169.0124
2018-08-21,169.1234
2018-08-22,169.2302
2018-08-23,169.3322
2018-08-24,169.4324
2018-08-27,169.5798
2018-08-28,169.7343
2018-08-29,169.9389
2018-08-30,170.1134
2018-08-31,170.3218
2018-09-04,170.5224
2018-09-05,170.7526
2018-09-06,170.9381
2018-09-07,171.1549
2018-09-10,171.3555
2018-09-11,171.5740
2018-09-12,171.7603
2018-09-13,172.0219
2018-09-14,172.2328
2018-09-17,172.3419
2018-09-18,172.4496
2018-09-19,172.5520
2018-09-20,172.7102
2018-09-21,172.7911
2018-09-24,172.8789
2018-09-25,172.9797
2018-09-26,173.0622
2018-09-27,173.1810
2018-09-28,173.3161
2018-10-01,173.4592
2018-10-02,173.5835
2018-10-03,173.6975
2018-10-04,173.6953
2018-10-05,173.7034
2018-10-08,173.7367
2018-10-09,173.8290
2018-10-10,173.7449
2018-10-11,173.6075
2018-10-12,173.5142
2018-10-15,173.3701
2018-10-16,173.3015
2018-10-17,173.2216
2018-10-18,173.0592
2018-10-19,172.8957
2018-10-22,172.7757
2018-10-23,172.6473
2018-10-24,172.3461
2018-10-25,172.1963
2018-10-26,171.9513
2018-10-29,171.6401
2018-10-30,171.3832
2018-10-31,171.1882
2018-11-01,171.0227
2018-11-02,170.8109
2018-11-05,170.5591
2018-11-06,170.2963
2018-11-07,170.1303
2018-11-08,169.9023
2018-11-09,169.6245
2018-11-12,169.2431
2018-11-13,168.8796
2018-11-14,168.5376
2018-11-15,168.2820
2018-11-16,168.0284
2018-11-19,167.6594
2018-11-20,167.2084
2018-11-21,166.7908
2018-11-23,166.3139
2018-11-26,165.9175
2018-11-27,165.5821
2018-11-28,165.3185
2018-11-29,165.0470
2018-11-30,164.7604
2018-12-03,164.5495
2018-12-04,164.2027
2018-12-06,163.8735
2018-12-07,163.4367
2018-12-10,163.0023
2018-12-11,162.5790
2018-12-12,162.1760
2018-12-13,161.7819
2018-12-14,161.3073
2018-12-17,160.8311
2018-12-18,160.4164
2018-12-19,159.9485
2018-12-20,159.4267
2018-12-21,158.9656
2018-12-24,158.4755
2018-12-26,158.0669
2018-12-27,157.7098
2018-12-28,157.2556
2018-12-31,156.8247
2019-01-02,156.4841
2019-01-03,156.0497
2019-01-04,155.7211
2019-01-07,155.4402
2019-01-08,155.3381
2019-01-09,155.1516
2019-01-10,155.0580
2019-01-11,155.0185
2019-01-14,154.9005
2019-01-15,154.7676
2019-01-16,154.5914
2019-01-17,154.4908
2019-01-18,154.4292
2019-01-22,154.2799
2019-01-23,154.0326
2019-01-24,153.8269
2019-01-25,153.7146
2019-01-28,153.6622
2019-01-29,153.5777
2019-01-30,153.5962
2019-01-31,153.6069
2019-02-01,153.6153
2019-02-04,153.7674
2019-02-05,154.0035
2019-02-06,154.2067
2019-02-07,154.3883
2019-02-08,154.5059
2019-02-11,154.6100
2019-02-12,154.6613
2019-02-13,154.7255
2019-02-14,154.7704
2019-02-15,154.7725
2019-02-19,154.9074
2019-02-20,155.0193
2019-02-21,155.2243
2019-02-22,155.4214
2019-02-25,155.6202
2019-02-26,155.7950
2019-02-27,155.9668
2019-02-28,156.2076
2019-03-01,156.5410
2019-03-04,156.8561
2019-03-05,157.2479
2019-03-06,157.6636
2019-03-07,158.1285
2019-03-08,158.6581
2019-03-11,159.0844
2019-03-12,159.5177
2019-03-13,159.9778
2019-03-14,160.4075
2019-03-15,160.8567
2019-03-18,161.4109
2019-03-19,161.8539
2019-03-20,162.2750
2019-03-21,162.7225
2019-03-22,163.0682
2019-03-25,163.3987
2019-03-26,163.7563
2019-03-27,164.1191
2019-03-28,164.4302
2019-03-29,164.7678
2019-04-01,165.1265
2019-04-02,165.4674
2019-04-03,165.8918
2019-04-04,166.3108
2019-04-05,166.7280
2019-04-08,167.1169
2019-04-09,167.5323
2019-04-10,167.9962
2019-04-11,168.3730
2019-04-12,168.7177
2019-04-15,169.0765
2019-04-16,169.4078
2019-04-17,169.7229
2019-04-18,170.0523
2019-04-22,170.4357
2019-04-23,170.8586
2019-04-24,171.2731
2019-04-25,171.6547
2019-04-26,172.0372
2019-04-29,172.4228
2019-04-30,172.7663
2019-05-01,173.0915
2019-05-02,173.4016
2019-05-03,173.7813
2019-05-06,174.1143
2019-05-07,174.3642
2019-05-08,174.6017
2019-05-09,174.8221
2019-05-10,175.0546
2019-05-13,175.1410
2019-05-14,175.2644
2019-05-15,175.4342
2019-05-16,175.6583
2019-05-17,175.8869
2019-05-20,176.0612
2019-05-21,176.2034
2019-05-22,176.3117
2019-05-23,176.3416
2019-05-24,176.3756
2019-05-28,176.3653
2019-05-29,176.3189
2019-05-30,176.2752
2019-05-31,176.1638
2019-06-03,175.9251
2019-06-04,175.8551
2019-06-05,175.8165
2019-06-06,175.7889
2019-06-07,175.8491
2019-06-10,175.9419
2019-06-11,176.0136
2019-06-12,176.0194
2019-06-13,176.0326
2019-06-14,176.0108
2019-06-17,176.0113
2019-06-18,176.0449
2019-06-19,176.0829
2019-06-20,176.1667
2019-06-21,176.2261
2019-06-24,176.2941
2019-06-25,176.2847
2019-06-26,176.2912
2019-06-27,176.2991
2019-06-28,176.2991
2019-07-01,176.3430
2019-07-02,176.3911
2019-07-03,176.4209
2019-07-05,176.4547
2019-07-08,176.4480
2019-07-09,176.4562
2019-07-10,176.4939
2019-07-11,176.5573
2019-07-12,176.6537
2019-07-15,176.7777
2019-07-16,176.8250
2019-07-17,176.8765
2019-07-18,177.0031
2019-07-19,177.1117
2019-07-22,177.2687
2019-07-23,177.4454
2019-07-24,177.7714
2019-07-25,178.0243
2019-07-26,178.2665
2019-07-29,178.4605
2019-07-30,178.6747
2019-07-31,178.8966
2019-08-01,179.0642
2019-08-02,179.1935
2019-08-05,179.2487
2019-08-06,179.3542
2019-08-07,179.4917
2019-08-08,179.7341
2019-08-09,179.9284
2019-08-12,180.1356
2019-08-13,180.4940
2019-08-14,180.6522
2019-08-15,180.7815
2019-08-16,180.9403
2019-08-19,181.0900
2019-08-20,181.1711
2019-08-21,181.2794
2019-08-22,181.3963
2019-08-23,181.3781
2019-08-26,181.4277
2019-08-27,181.4488
2019-08-28,181.4313
2019-08-29,181.4548
2019-08-30,181.4363
2019-09-03,181.3881
2019-09-04,181.3914
2019-09-05,181.5230
2019-09-06,181.6345
2019-09-09,181.7246
2019-09-10,181.7996
2019-09-11,181.8605
2019-09-12,181.9224
2019-09-13,181.9435
2019-09-16,181.9556
2019-09-17,182.0112
2019-09-18,182.0469
2019-09-19,182.0523
2019-09-20,182.0212
2019-09-23,181.9703
2019-09-24,181.8588
2019-09-25,181.8072
2019-09-26,181.7603
2019-09-27,181.6640
2019-09-30,181.6291
2019-10-01,181.5352
2019-10-02,181.3552
2019-10-03,181.1879
2019-10-04,181.1089
2019-10-07,180.9807
2019-10-08,180.8111
2019-10-09,180.6925
2019-10-10,180.6533
2019-10-11,180.6792
2019-10-14,180.7585
2019-10-15,181.0117
2019-10-16,181.2072
2019-10-17,181.3934
2019-10-18,181.4667
2019-10-21,181.6068
2019-10-22,181.7584
2019-10-23,181.8394
2019-10-24,182.0647
2019-10-25,182.3238
2019-10-28,182.5638
2019-10-29,182.7177
2019-10-30,182.9179
2019-10-31,183.0879
2019-11-01,183.3041
2019-11-04,183.6583
2019-11-05,183.9619
2019-11-06,184.2642
2019-11-07,184.5668
2019-11-08,184.8303
2019-11-11,185.0974
2019-11-12,185.4105
2019-11-13,185.6732
2019-11-14,185.8664
2019-11-15,186.0918
2019-11-18,186.3280
2019-11-19,186.5805
2019-11-20,186.7752
2019-11-21,186.9457
2019-11-22,187.1321
2019-11-25,187.3810
2019-11-26,187.6197
2019-11-27,187.8875
2019-11-29,188.1311
2019-12-02,188.3734
2019-12-03,188.5835
